;C1_TT101 (°C);C1_TT111 (°C);C1_PT801 (barA);C1_PT802 (barA); (); ();C2_TT101 (°C);C2_TT111 (°C);
05/03/2019 08:18:41;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:19:01;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:19:21;-0.01;19.4;0;0;0;22.2;0;0;
05/03/2019 08:19:41;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:20:01;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:20:23;-0.01;19.4;0;0;0;22.2;0;0;
05/03/2019 08:20:43;-0.01;19.3;0;0;0;22.2;0;0;
05/03/2019 08:21:03;-0.01;18.4;0;0;0;22.2;0;0;
05/03/2019 08:21:23;-0.01;17.6;0;0;0;22.2;0;0;
05/03/2019 08:21:43;-0.01;17;0;0;0;22.2;0;0;
05/03/2019 08:22:03;-0.01;16.6;0;0;0;22.2;0;0;
05/03/2019 08:22:23;-0.01;16.4;0;0;0;22.2;0;0;
05/03/2019 08:22:43;-0.01;16.3;0;0;0;22.2;0;0;
05/03/2019 08:23:03;-0.01;16.2;0;0;0;22.2;0;0;
05/03/2019 08:23:25;-0.01;16.1;0;0;0;22.2;0;0;
05/03/2019 08:23:45;-0.01;16.1;0;0;0;22.2;0;0;
05/03/2019 08:24:05;-0.01;16;0;0;0;22.2;0;0;
05/03/2019 08:24:25;-0.01;16;0;0;0;22.2;0;0;
05/03/2019 08:24:45;-0.01;16;0;0;0;22.2;0;0;
05/03/2019 08:25:05;-0.01;15.9;0;0;0;22.2;0;0;
05/03/2019 08:25:25;0;15.9;0;0;0;22.2;0;0;
05/03/2019 08:25:45;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:26:05;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:26:27;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:26:47;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:27:07;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:27:27;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:27:47;0;15.8;0;0;0;22.2;0;0;
05/03/2019 08:28:07;0;15.7;0;0;0;22.2;0;0;
05/03/2019 08:28:27;0;15.7;0;0;0;22.2;0;0;
05/03/2019 08:28:47;0;15.7;0;0;0;22.2;0;0;
