"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
573995;"08/03/2019 06:53:43";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 2 DEMARRAGE POMPE ";"Changement d'étape";;A2qDST
573996;"08/03/2019 06:53:45";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 3 AUTOR. SORTIE PROD";"Changement d'étape";;4h5cNM
573997;"08/03/2019 06:53:47";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 7 MODE DISPERSING";"Changement d'étape";;7ROQ2X
573998;"08/03/2019 07:08:47";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION";"Appel Opérateur";;TEd5RW
573999;"08/03/2019 07:08:47";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;pcmxB/
574000;"08/03/2019 07:08:47";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION ETAPE: 2 FIN RECIRCULATION";"Changement d'étape";;DEMJUA
574001;"08/03/2019 07:08:51";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 5 AUTOR. ENTREE  PROD";"Changement d'étape";;nGmprc
574002;"08/03/2019 07:08:53";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 6 ARRET POMPE ";"Changement d'étape";;ch6KLR
574003;"08/03/2019 07:08:59";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"Annulée";;+e0Ns2
574004;"08/03/2019 07:08:59";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 0 REPOS";"Changement d'étape";;kYPYPn
574005;"08/03/2019 07:09:11";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;fLAkZY
574006;"08/03/2019 07:10:25";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;yoOD1W
574007;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION";"Confirmation opérateur";;HakwQl
574008;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"En Marche";;RsHc7z
574009;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"En Marche";;i19Ri9
574010;"08/03/2019 07:10:55";"-1:00";"BCO";"RECETTE: RECETTE DE PRODUCTION PAS N°17: PHASE N°5 - RECIRCULATION ET AGITATION";"Changement du pas de la recette";;n/LVAp
574011;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 1 REFROIDISSEMENT";"Changement d'étape";;FCt3z3
574012;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION ETAPE: 0 REPOS";"Changement d'étape";;DtU3fg
574013;"08/03/2019 07:10:55";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 1 RECIRCULATION";"Changement d'étape";;AAc3nE
574014;"08/03/2019 07:11:07";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 2 DEMARRAGE POMPE ";"Changement d'étape";;9WYMbV
574015;"08/03/2019 07:11:11";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 3 AUTOR. SORTIE PROD";"Changement d'étape";;ADTa73
